name,accession,id,taxid,metaprotein
DCTN1,DCTN1_HUMAN,Protein-115,9606,4
DCTN1,DCTN1_HUMAN,Protein-116,9606,4
DCTN1,DCTN1_HUMAN,Protein-117,9606,4
DCTN1,DCTN1_HUMAN,Protein-118,9606,4
DCTN1,DCTN1_HUMAN,Protein-119,9606,4
DCTN1,DCTN1_HUMAN,Protein-120,9606,4
DCTN1,DCTN1_HUMAN,Protein-121,9606,4
DCTN1,DCTN1_HUMAN,Protein-122,9606,4
DCTN1,DCTN1_HUMAN,Protein-154,9606,4
DCTN1,DCTN1_HUMAN,Protein-155,9606,4
DCTN1,DCTN1_HUMAN,Protein-156,9606,4
DCTN1,DCTN1_HUMAN,Protein-157,9606,4
DCTN1,DCTN1_HUMAN,Protein-158,9606,4
DCTN1,DCTN1_HUMAN,Protein-159,9606,4
DCTN1,DCTN1_HUMAN,Protein-160,9606,4
DCTN1,DCTN1_HUMAN,Protein-161,9606,4
DCTN1,DCTN1_HUMAN,Protein-188,9606,4
DCTN1,DCTN1_HUMAN,Protein-189,9606,4
DCTN1,DCTN1_HUMAN,Protein-190,9606,4
DCTN1,DCTN1_HUMAN,Protein-191,9606,4
DCTN1,DCTN1_HUMAN,Protein-192,9606,4
DCTN1,DCTN1_HUMAN,Protein-193,9606,4
DCTN1,DCTN1_HUMAN,Protein-194,9606,4
DCTN1,DCTN1_HUMAN,Protein-195,9606,4
DCTN1,DCTN1_HUMAN,Protein-227,9606,4
DCTN1,DCTN1_HUMAN,Protein-228,9606,4
DCTN1,DCTN1_HUMAN,Protein-229,9606,4
DCTN1,DCTN1_HUMAN,Protein-230,9606,4
DCTN1,DCTN1_HUMAN,Protein-231,9606,4
DCTN1,DCTN1_HUMAN,Protein-232,9606,4
DCTN1,DCTN1_HUMAN,Protein-233,9606,4
DCTN1,DCTN1_HUMAN,Protein-234,9606,4
DCTN1,DCTN1_HUMAN,Protein-261,9606,4
DCTN1,DCTN1_HUMAN,Protein-262,9606,4
DCTN1,DCTN1_HUMAN,Protein-263,9606,4
DCTN1,DCTN1_HUMAN,Protein-264,9606,4
DCTN1,DCTN1_HUMAN,Protein-265,9606,4
DCTN1,DCTN1_HUMAN,Protein-266,9606,4
DCTN1,DCTN1_HUMAN,Protein-267,9606,4
DCTN1,DCTN1_HUMAN,Protein-268,9606,4
DCTN1,DCTN1_HUMAN,Protein-300,9606,4
DCTN1,DCTN1_HUMAN,Protein-301,9606,4
DCTN1,DCTN1_HUMAN,Protein-302,9606,4
DCTN1,DCTN1_HUMAN,Protein-303,9606,4
DCTN1,DCTN1_HUMAN,Protein-304,9606,4
DCTN1,DCTN1_HUMAN,Protein-305,9606,4
DCTN1,DCTN1_HUMAN,Protein-306,9606,4
DCTN1,DCTN1_HUMAN,Protein-307,9606,4
DCTN1,DCTN1_HUMAN,Protein-345,9606,4
