proteinid,peptideid
Protein-115,Peptide-1
Protein-116,Peptide-1
Protein-117,Peptide-1
Protein-118,Peptide-1
Protein-119,Peptide-1
Protein-120,Peptide-2
Protein-120,Peptide-3
Protein-121,Peptide-2
Protein-121,Peptide-3
Protein-122,Peptide-4
Protein-154,Peptide-5
Protein-155,Peptide-6
Protein-156,Peptide-7
Protein-157,Peptide-8
Protein-158,Peptide-9
Protein-159,Peptide-10
Protein-160,Peptide-11
Protein-161,Peptide-11
Protein-188,Peptide-12
Protein-189,Peptide-13
Protein-190,Peptide-14
Protein-191,Peptide-15
Protein-192,Peptide-16
Protein-193,Peptide-17
Protein-301,Peptide-37
Protein-302,Peptide-38
Protein-303,Peptide-39
Protein-304,Peptide-40
Protein-305,Peptide-41
Protein-306,Peptide-42
Protein-307,Peptide-43
Protein-345,Peptide-44
Protein-346,Peptide-45
Protein-347,Peptide-46
Protein-348,Peptide-47
Protein-349,Peptide-48
Protein-350,Peptide-49
Protein-350,Peptide-50
Protein-350,Peptide-51
Protein-351,Peptide-49
Protein-351,Peptide-50
Protein-351,Peptide-51
Protein-352,Peptide-49
Protein-352,Peptide-50
Protein-352,Peptide-51
Protein-384,Peptide-52
Protein-385,Peptide-53
Protein-386,Peptide-54
Protein-387,Peptide-55
Protein-388,Peptide-56
Protein-389,Peptide-57
Protein-390,Peptide-58
Protein-391,Peptide-59
Protein-418,Peptide-60
Protein-419,Peptide-61
Protein-420,Peptide-62
Protein-421,Peptide-62
Protein-422,Peptide-63
Protein-423,Peptide-64
Protein-424,Peptide-65
Protein-425,Peptide-66
Protein-457,Peptide-67
Protein-458,Peptide-68
Protein-459,Peptide-69
Protein-460,Peptide-70
Protein-461,Peptide-71
Protein-462,Peptide-72
Protein-463,Peptide-73
Protein-464,Peptide-74
Protein-491,Peptide-75
Protein-492,Peptide-76
Protein-493,Peptide-77
Protein-494,Peptide-78
Protein-495,Peptide-79
Protein-496,Peptide-80
Protein-497,Peptide-81
Protein-498,Peptide-82
Protein-521,Peptide-83
Protein-522,Peptide-84
Protein-523,Peptide-85
Protein-524,Peptide-86
Protein-525,Peptide-87
Protein-526,Peptide-88
Protein-527,Peptide-89
Protein-528,Peptide-90
Protein-560,Peptide-91
Protein-561,Peptide-92
Protein-562,Peptide-93
Protein-563,Peptide-94
Protein-564,Peptide-95
Protein-565,Peptide-96
Protein-566,Peptide-97
Protein-567,Peptide-98
Protein-594,Peptide-99
Protein-595,Peptide-100
Protein-595,Peptide-101
Protein-596,Peptide-100
Protein-596,Peptide-101
Protein-597,Peptide-102
Protein-598,Peptide-103
Protein-599,Peptide-104
Protein-600,Peptide-105
Protein-601,Peptide-106
Protein-628,Peptide-107
Protein-670,Peptide-118
Protein-671,Peptide-119
Protein-672,Peptide-120
Protein-673,Peptide-121
