Query,Rows,DB_hits,time_not_ind,time_ind,time(not_ind-ind),Memory,Cache_memory
S1,545,10521,86,19,67,205772,default
S2,31,9443,121,52,69,22496,default
S3,3,10674,64,36,28,444,default
S4,155,4331,95,60,35,86392,default
S5,5,10823,96,48,48,2824,default
S6,1189,16790,44,41,3,72,default
S7,545,10037,52,84,-32,201332,default
S8,1,3350,452,138,314,800,default
S9,60,10521,48,75,-27,103332,default
S10,1189,16790,44,36,8,72,default
D1,1189,16790,123,48,75,128,default
D2,631,17184,100,144,-44,72,default
D3,86,7551,57,44,13,72,default
D4,86,7637,52,44,8,72,default
D5,631,20933,68,48,20,128,default
D6,631,22232,104,88,16,72,default
Q1,1,1,24,17,7,72,default
Q2,1,1,12,16,-4,72,default
Q3,2,8178,239,66,173,1408,default
Q4,152,12583,24,16,8,72,default
Q5,16,16329,28,36,-8,105124,default
Q6,1,0,52,44,8,72,default
P1,40,320,56,65,-9,3872,default
