Query,Rows,DB_hits,time_not_ind,time_ind,time(not_ind-ind),Memory,Cache_memory
S1,545,10521,86,19,67,205772,default
S2,31,9443,121,52,69,22496,default
S3,3,10674,64,36,28,444,default
S4,155,4331,95,60,35,86392,default
S5,5,10823,96,48,48,2824,default
S6,1189,16790,44,41,3,72,default
S7,545,10037,52,84,-32,201332,default
S8,1,3350,452,138,314,800,default
S9,60,10521,48,75,-27,103332,default
S10,1189,16790,44,36,8,72,default
D1,1189,16790,123,48,75,128,default
D2,631,17184,100,144,-44,72,default
D3,86,7551,57,44,13,72,default
D4,86,7637,52,44,8,72,default
D5,631,20933,68,48,20,128,default
D6,631,22232,104,88,16,72,default
D7,2,17341,317,319,-2,1884,default
D8,545,7228,373,333,40,233160,default
D9,5,5068,131,122,9,233256,default
D10,34,8044,469,519,-50,48624,default
Q1,1,1,24,17,7,72,default
Q2,1,1,12,16,-4,72,default
Q3,2,8178,239,66,173,1408,default
Q4,152,12583,24,16,8,72,default
Q5,16,16329,28,36,-8,105124,default
G.P1,1,0,52,44,8,72,default
G.P2,40,320,56,65,-9,3872,default
G.P3,1,0,88,20,68,72,default
G.P4,1,0,79,64,15,72,default
G.P5,1,0,110,80,30,72,default
A.P1,1,13343,217,230,-13,88,default
A.P2,1,13343,84,96,-12,88,default
A.P3,0,5,422,311,111,0,default
A.P4,1,6,107,125,-18,72,default
A.P5,3,10034,124,92,32,72,default
S1,545,10521,40,133,-93,205772,zero
S2,31,9443,60,80,-20,22496,zero
S3,3,10677,44,96,-52,444,zero
S4,155,4331,44,119,-75,86392,zero
S5,5,10826,68,119,-51,2824,zero
S6,1189,16790,44,44,0,72,zero
S7,545,10037,48,61,-13,201332,zero
S8,1,23,80,100,-20,312,zero
S9,16,10521,36,60,-24,103332,zero
S10,1189,16790,39,36,3,72,zero
D1,1189,16790,42,87,-45,128,zero
D2,631,17184,74,129,-55,72,zero
D3,86,7552,61,86,-25,72,zero
D4,86,7638,52,85,-33,72,zero
D5,631,20933,86,104,-18,128,zero
D6,105,22232,81,105,-24,72,zero
D7,2,17329,104,157,-53,1884,zero
D8,545,7225,56,68,-12,233160,zero
D9,5,5065,32,104,-72,233256,zero
D10,5,5056,150,104,46,233256,zero
Q1,1,1,72,18,54,72,zero
Q2,1,1,12,20,-8,72,zero
Q3,2,8221,56,131,-75,1408,zero
Q4,152,12586,28,30,-2,72,zero
Q5,16,16329,40,68,-28,105124,zero
G.P1,1,0,96,81,15,72,zero
G.P2,40,320,141,217,-76,3872,zero
G.P3,1,0,41,28,13,72,zero
G.P4,1,0,65,24,41,72,zero
G.P5,2,0,36,41,-5,72,zero
A.P1,1,10002,64,120,-56,88,zero
A.P2,1,10002,36,54,-18,88,zero
A.P3,0,5,13,541,-528,0,zero
A.P4,1,6,78,95,-17,72,zero
A.P5,3,10018,36,90,-54,72,zero
