Dataset,Query,Rows,DB_hits,time_not_ind,time_ind,time(not_ind-ind),Memory,Cache_memory
COVID,c1,1,4814,56,96,-40,72,default
COVID,c2,1,16833,76,107,-31,72,default
COVID,c3,94,15054,125,215,-90,72,default
COVID,c4,1072,36807,91,16,75,72,default
COVID,c1,1,4814,117,177,-60,72,zero
COVID,c2,1,16833,88,89,-1,72,zero
COVID,c3,94,15054,329,302,27,72,zero
COVID,c4,1072,36807,72,77,-5,72,zero
COVID,c1,1,4814,68,162,-94,72,default
COVID,c2,1,16833,80,92,-12,72,default
COVID,c3,94,15054,173,310,-137,72,default
Heart_Failure,h1,30,3973,74,59,15,64,default
Heart_Failure,h2,96,1784,91,16,75,64,default
Metaprotein,m1,14,293,285,118,167,3928,default
Metaprotein,m2,24,923,103,54,49,11848,default
Metaprotein,m3,100,1349,92,72,20,72,default
Metaprotein,m1,14,293,158,201,-43,3928,zero
Metaprotein,m2,24,923,90,81,9,11848,zero
Metaprotein,m3,100,1349,199,213,-14,72,zero
Metaprotein1,S1,545,10521,86,19,67,205772,default
Metaprotein1,S2,31,9443,121,52,69,22496,default
Metaprotein1,S3,3,10674,64,36,28,444,default
Metaprotein1,S4,155,4331,95,60,35,86392,default
Metaprotein1,S5,5,10823,96,48,48,2824,default
Metaprotein1,S6,1189,16790,44,41,3,72,default
Metaprotein1,S7,545,10037,52,84,-32,201332,default
Metaprotein1,S8,1,3350,76,138,-62,800,default
Metaprotein1,S9,60,10521,48,75,-27,103332,default
Metaprotein1,S10,1189,16790,44,36,8,72,default
Metaprotein1,D1,1189,16790,123,48,75,128,default
Metaprotein1,D2,631,17184,100,144,-44,72,default
Metaprotein1,D3,86,7551,57,44,13,72,default
Metaprotein1,D4,86,7637,52,44,8,72,default
Metaprotein1,D5,631,20933,68,48,20,128,default
Metaprotein1,D6,631,22232,104,88,16,72,default
Metaprotein1,Q1,1,1,24,17,7,72,default
Metaprotein1,Q2,1,1,12,16,-4,72,default
Metaprotein1,Q3,2,8178,52,66,-14,1408,default
Metaprotein1,Q4,152,12583,24,16,8,72,default
Metaprotein1,Q5,16,16329,28,36,-8,105124,default
Metaprotein1,Q6,1,0,52,44,8,72,default
Metaprotein1,Q7,40,320,56,65,-9,3872,default
